timestamp,rotor_speed,gearbox_temp,vibration,wind_speed,power_output,fault_label
2026-05-01 00:00:00,13.33,63.97,1.53,11.27,1722.27,0
2026-05-01 00:10:00,15.48,73.13,1.73,12.35,1376.22,0
2026-05-01 00:20:00,15.42,75.08,1.21,8.38,1552.44,0
2026-05-01 00:30:00,16.52,65.12,0.78,13.93,1426.51,0
2026-05-01 00:40:00,14.13,65.28,1.53,11.04,1464.59,0
2026-05-01 00:50:00,14.21,68.63,2.27,12.26,1545.35,0
2026-05-01 01:00:00,14.14,67.38,1.41,12.73,1622.46,0
2026-05-01 01:10:00,13.61,92.96,5.98,10.95,1316.37,1
2026-05-01 01:20:00,11.08,64.7,2.01,11.74,1346.31,0
2026-05-01 01:30:00,16.43,72.07,1.65,7.93,1526.78,0
2026-05-01 01:40:00,16.22,66.12,1.54,13.46,1645.95,0
2026-05-01 01:50:00,12.71,71.59,1.61,14.16,1331.47,0
2026-05-01 02:00:00,14.36,65.96,1.55,8.6,1531.44,0
2026-05-01 02:10:00,13.89,64.25,1.13,11.19,1499.79,0
2026-05-01 02:20:00,13.94,76.88,1.07,9.54,1541.45,0
2026-05-01 02:30:00,11.79,72.65,2.04,11.64,1422.77,0
2026-05-01 02:40:00,14.06,58.36,1.53,13.3,1356.44,0
2026-05-01 02:50:00,15.9,65.09,1.51,13.97,1308.69,0
2026-05-01 03:00:00,18.84,73.34,1.45,14.24,1597.64,0
2026-05-01 03:10:00,15.59,61.34,1.71,14.62,1610.4,0
2026-05-01 03:20:00,15.18,71.17,2.24,11.56,1530.27,0
2026-05-01 03:30:00,14.23,70.66,1.63,9.71,1446.59,0
2026-05-01 03:40:00,14.1,63.82,1.3,11.77,1337.7,0
2026-05-01 03:50:00,16.42,67.28,1.44,13.27,1556.33,0
2026-05-01 04:00:00,15.44,56.87,1.8,9.55,1389.92,0
2026-05-01 04:10:00,14.05,76.17,1.3,15.32,1428.87,0
2026-05-01 04:20:00,13.47,65.77,1.73,13.8,1441.34,0
2026-05-01 04:30:00,14.76,71.34,0.78,11.59,1480.25,0
2026-05-01 04:40:00,14.2,70.39,1.41,10.58,1424.1,0
2026-05-01 04:50:00,14.99,74.11,1.66,10.66,1503.35,0
2026-05-01 05:00:00,14.66,65.15,1.86,12.15,1437.82,0
2026-05-01 05:10:00,15.58,68.34,1.23,11.54,1570.14,0
2026-05-01 05:20:00,13.1,70.12,1.02,13.9,1603.11,0
2026-05-01 05:30:00,16.64,71.68,1.4,11.31,1510.85,0
2026-05-01 05:40:00,19.17,73.09,1.14,13.01,1546.26,0
2026-05-01 05:50:00,16.79,64.93,1.43,11.94,1711.79,0
2026-05-01 06:00:00,15.33,64.0,1.47,12.54,1382.74,0
2026-05-01 06:10:00,16.32,74.12,1.08,11.54,1376.65,0
2026-05-01 06:20:00,13.49,57.13,1.72,13.42,1569.5,0
2026-05-01 06:30:00,12.63,75.17,1.43,13.45,1694.65,0
2026-05-01 06:40:00,16.16,65.81,1.8,12.92,1473.95,0
2026-05-01 06:50:00,14.19,67.3,0.92,13.22,1672.68,0
2026-05-01 07:00:00,12.98,63.91,1.17,10.11,1509.64,0
2026-05-01 07:10:00,13.68,67.08,1.63,12.65,1431.91,0
2026-05-01 07:20:00,13.3,73.68,1.24,14.5,1400.93,0
2026-05-01 07:30:00,15.2,71.17,1.43,12.98,1562.94,0
2026-05-01 07:40:00,15.87,69.78,1.48,9.94,1408.5,0
2026-05-01 07:50:00,16.33,67.76,1.52,11.9,1508.13,0
2026-05-01 08:00:00,16.34,60.09,1.27,12.75,1658.35,0
2026-05-01 08:10:00,16.13,87.2,3.8,10.49,901.64,1
2026-05-01 08:20:00,14.69,65.6,1.24,9.28,1631.4,0
2026-05-01 08:30:00,14.06,69.61,1.68,11.37,1378.55,0
2026-05-01 08:40:00,12.74,67.67,1.44,10.52,1446.61,0
2026-05-01 08:50:00,16.65,72.24,1.52,11.97,1359.29,0
2026-05-01 09:00:00,14.73,69.69,2.25,8.82,1507.3,0
2026-05-01 09:10:00,14.38,67.59,1.14,13.13,1578.01,0
2026-05-01 09:20:00,16.77,78.7,1.89,10.73,1507.52,0
2026-05-01 09:30:00,13.65,69.35,0.68,13.99,1622.71,0
