timestamp,rotor_speed,gearbox_temp,vibration,wind_speed,power_output,fault_label
2026-05-01 00:00:00,15.12,60.05,1.32,12.67,1334.51,0
2026-05-01 00:10:00,12.81,56.7,1.08,12.63,1404.0,0
2026-05-01 00:20:00,14.54,60.27,1.24,12.94,1487.73,0
2026-05-01 00:30:00,13.87,62.07,1.03,8.93,1509.34,0
2026-05-01 00:40:00,15.48,60.54,1.57,13.51,1386.98,0
2026-05-01 00:50:00,17.01,70.07,1.62,13.22,1741.17,0
2026-05-01 01:00:00,12.19,64.44,0.75,9.97,1651.64,0
2026-05-01 01:10:00,15.17,83.27,5.05,11.51,1207.01,1
2026-05-01 01:20:00,14.76,65.92,0.86,11.92,1507.2,0
2026-05-01 01:30:00,16.01,57.11,1.11,11.73,1478.78,0
2026-05-01 01:40:00,15.32,92.5,3.76,12.67,752.97,1
2026-05-01 01:50:00,13.87,87.34,5.59,14.86,1124.42,1
2026-05-01 02:00:00,14.52,66.16,1.03,14.16,1525.78,0
2026-05-01 02:10:00,13.81,79.14,4.07,9.38,882.3,1
2026-05-01 02:20:00,16.61,55.04,1.37,13.24,1533.42,0
2026-05-01 02:30:00,15.03,66.9,1.33,14.66,1484.47,0
2026-05-01 02:40:00,17.85,64.69,1.09,12.77,1309.22,0
2026-05-01 02:50:00,14.91,58.3,1.36,14.18,1413.96,0
2026-05-01 03:00:00,13.94,58.46,1.14,16.02,1458.64,0
2026-05-01 03:10:00,12.73,68.43,1.22,14.05,1688.77,0
2026-05-01 03:20:00,12.3,56.86,1.81,12.5,1555.66,0
2026-05-01 03:30:00,12.62,71.02,1.71,14.09,1366.45,0
2026-05-01 03:40:00,15.4,58.3,0.92,12.29,1548.6,0
2026-05-01 03:50:00,15.76,66.0,1.55,12.05,1345.27,0
2026-05-01 04:00:00,12.63,61.16,1.55,11.3,1608.27,0
2026-05-01 04:10:00,16.34,65.82,0.96,15.13,1452.89,0
2026-05-01 04:20:00,14.28,78.66,4.81,10.36,953.12,1
2026-05-01 04:30:00,15.22,78.61,5.49,15.06,1143.88,1
2026-05-01 04:40:00,17.42,63.01,0.97,13.0,1371.28,0
2026-05-01 04:50:00,16.35,57.8,1.03,9.2,1360.29,0
2026-05-01 05:00:00,14.6,66.51,1.61,12.74,1441.64,0
2026-05-01 05:10:00,13.66,60.24,1.39,7.8,1603.84,0
2026-05-01 05:20:00,11.77,61.66,1.47,13.25,1348.07,0
2026-05-01 05:30:00,13.92,57.84,1.41,13.77,1216.78,0
2026-05-01 05:40:00,14.68,50.0,1.42,10.82,1454.88,0
2026-05-01 05:50:00,13.52,61.85,0.91,12.25,1555.17,0
2026-05-01 06:00:00,14.8,95.57,5.28,15.91,1235.98,1
2026-05-01 06:10:00,15.12,66.73,1.66,10.99,1453.68,0
2026-05-01 06:20:00,14.66,62.71,1.24,9.88,1458.86,0
2026-05-01 06:30:00,14.02,76.74,5.52,14.96,1173.46,1
2026-05-01 06:40:00,15.25,62.92,0.85,15.93,1313.03,0
2026-05-01 06:50:00,15.66,65.54,1.46,12.01,1461.15,0
2026-05-01 07:00:00,13.36,56.9,1.48,14.02,1519.04,0
2026-05-01 07:10:00,17.12,68.38,1.29,14.68,1544.92,0
2026-05-01 07:20:00,14.85,66.38,1.64,10.52,1449.02,0
2026-05-01 07:30:00,15.03,66.4,1.21,11.03,1503.44,0
2026-05-01 07:40:00,16.06,65.0,1.47,14.46,1251.17,0
2026-05-01 07:50:00,15.35,62.9,1.0,15.37,1434.18,0
2026-05-01 08:00:00,16.43,66.17,1.3,13.13,1545.35,0
2026-05-01 08:10:00,15.43,65.77,1.25,10.24,1401.77,0
2026-05-01 08:20:00,14.08,61.04,1.37,15.97,1505.9,0
2026-05-01 08:30:00,15.54,80.58,5.54,10.94,1140.22,1
2026-05-01 08:40:00,13.28,63.32,1.27,11.33,1465.75,0
2026-05-01 08:50:00,15.16,70.55,1.55,12.68,1517.05,0
2026-05-01 09:00:00,14.95,56.61,1.17,15.11,1403.73,0
2026-05-01 09:10:00,14.69,55.47,0.82,13.71,1479.34,0
2026-05-01 09:20:00,14.81,63.63,1.83,12.83,1561.02,0
2026-05-01 09:30:00,12.18,63.06,1.72,12.93,1515.7,0
2026-05-01 09:40:00,14.18,84.35,5.0,12.09,822.85,1
2026-05-01 09:50:00,15.14,85.13,5.72,13.12,1027.15,1
2026-05-01 10:00:00,15.24,61.69,1.15,6.94,1571.46,0
2026-05-01 10:10:00,13.46,70.26,1.38,11.41,1295.01,0
2026-05-01 10:20:00,16.9,54.8,1.39,12.48,1615.91,0
